rank,reward_variant,learning_rate,cql_alpha,best_fqe,best_epoch,wis,ess
1,sparse,0.001,0.1,18.539985911119096,200,12.443313444245794,5.376691342922466
2,sparse,0.0001,0.05,18.27776691370612,200,-13.174457373464513,1.0011590811767466
3,shaped,0.0001,1.0,18.258302333738783,200,-13.162246319954312,1.0018052230090633
4,shaped,0.001,0.1,18.209285804269484,200,12.497988939631542,5.363234980752968
5,shaped,0.001,1.0,18.098363890275127,200,12.481093736470571,6.667412546543864
6,sparse,0.0003,1.0,17.91055752341592,200,6.767402276842506,4.869092371000098
7,sparse,0.0003,0.1,17.815217924745458,200,5.706234487927515,4.400048062593761
8,shaped,0.0003,1.0,17.751587657874953,200,3.0341575327139383,3.334786664565568
9,sparse,0.0001,0.1,17.717703336717175,200,6.813713214213184,9.403328532991654
10,sparse,0.0001,1.0,17.682602023192604,200,8.13802321250455,6.320387212994031
11,sparse,0.0003,0.05,17.64556508921894,200,6.1999382302132275,5.163716789541796
12,sparse,0.001,1.0,17.637668013019088,200,10.320445515140758,6.735714447014904
13,shaped,0.0001,0.1,17.625637148555956,200,8.153949077287097,6.2155491931759785
14,shaped,0.0001,0.5,17.61055379976798,200,3.570623484680951,6.063849408231799
15,shaped,0.001,0.05,17.576672643884418,200,3.874963922836081,9.264835022111706
16,shaped,0.0003,0.1,17.545873512978154,200,6.773653137255588,9.561867399582983
17,shaped,0.0003,0.05,17.544850452581056,200,9.289093920852721,8.394919163932865
18,sparse,0.001,0.5,17.513874573788776,200,3.4729392433336965,6.080822870635564
19,sparse,0.0003,0.5,17.301254936323815,200,5.40306374157982,4.0568174855297015
20,sparse,0.0001,0.5,17.0857366419429,200,4.957674051652722,7.347873038882567
21,sparse,0.001,0.05,16.891380833859785,200,3.835242098132168,6.519437266681719
22,shaped,0.0001,0.05,16.8574545484486,200,5.439750693896444,4.051005610885237
23,shaped,0.001,0.5,16.720782638426535,200,5.145608772299493,7.677770579994242
24,shaped,0.0003,0.5,16.458057577026885,200,6.178131092601817,5.091488205618374
